TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;13;09;28;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;29;00 16;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:29:16;29:16;63;09;30;19;30:19;Small apoidea sp.;small Apoidea;;Hymenoptera;NA;0;1;;;;;;;1;63;;;;;;;;;;;;;1;1;0;
2019;Nov;13;09;30;00 17;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:30:17;30:17;06;09;30;23;30:23;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;3;;;;;1;2;1;4;;;;;;;;;;;;;1;3;0;
2019;Nov;13;09;30;00 37;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:30:37;30:37;144;09;33;01;33:01;Small apoidea sp.;small Apoidea;;Hymenoptera;NA;0;2;;;;;;;1;144;;;;;;;;;;;;;1;2;0;
2019;Nov;13;09;31;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;32;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;33;00 01;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:33:01;33:01;23;09;33;24;33:24;Small apoidea sp.;Brachycera;;Diptera;NA;0;2;;;;;;;1;23;;;;;;;;;;;;;1;2;0;
2019;Nov;13;09;33;00 49;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:33:49;33:49;47;09;34;36;34:36;Small apoidea sp.;small Apoidea;;Hymenoptera;NA;0;3;;;1;4;1;1;1;42;;;;;;;;;;;;;1;3;0;
2019;Nov;13;09;34;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;35;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
