TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;15;10;54;;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;15;10;55;00 24;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:55:24;11:24;32;10;55;56;11:56;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;32;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;56;00 00;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:56:00;12:00;75;10;57;15;13:15;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;75;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;56;00 01;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:56:01;12:01;76;10;57;17;13:17;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;76;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;56;00 05;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:56:05;12:05;45;10;56;50;12:50;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;45;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 17;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:17;13:17;03;10;57;20;13:20;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;3;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;15;10;57;00 22;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:22;13:22;13;10;57;35;13:35;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;13;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 25;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:25;13:25;13;10;57;38;13:38;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;13;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 36;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:36;13:36;13;10;57;49;13:49;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;13;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 52;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:52;13:52;11;10;58;03;14:03;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;11;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 53;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:53;13:53;15;10;58;08;14:08;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;15;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;57;00 56;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:57:56;13:56;108;10;59;44;15:44;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;2;;;1;107;1;1;;;;;;;;;;;;;;;1;2;0;
2019;Nov;15;10;58;00 19;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:58:19;14:19;50;10;59;09;15:09;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;50;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;59;00 08;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:59:08;15:08;313;11;04;21;20:21;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;313;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;59;00 09;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:59:09;15:09;01;10;59;10;15:10;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;1;;;;;;;;;;;;;;;;;0;;0;
