    ;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;11;04;00 05; ;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:04:05;04:05;12;11;04;17;04:17;dark fly;Anthomyia sp.02;;Diptera;NA;0;1;;;;;;;;;1;12;;;;;;;;;1;1;1;1
2019;Nov;22;11;05;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!; ;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;06;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;07;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;08;00 14;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:08:14;08:14;239;11;12;13;12:13;fly;Striped fly with ant;;Diptera;NA;0;3;;;;;;;;;1;239;;;;; ;;;;1;3;1;3
2019;Nov;22;11;09;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;  ;;;;;;;;;;;;;
2019;Nov;22;11;10;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;11;00 54;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:11:54;11:54;10;11;12;04;12:04;fly;Striped fly with ant;;Diptera;NA;0;2;;;1;5;;;;;1;5;;;;;;;;;1;2;1;2
2019;Nov;22;11;12;00 17;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:12:17;12:17;22;11;12;39;12:39;fly;Striped fly with ant;;Diptera;NA;0;1;;;1;10;;;;;1;12;;;;;;;;;1;1;1;1
2019;Nov;22;11;12;00 40;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:12:40;12:40;118;11;14;38;14:38;fly;Striped fly with ant;;Diptera;NA;0;3;;;;;;;;;1;118;;;;;;;;;1;3;1;3
2019;Nov;22;11;13;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;14;00 40;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:14:40;14:40;10;11;14;50;14:50;fly;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;10;;;;;;;;;1;1;1;1
2019;Nov;22;11;15;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;16;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;17;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;18;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;19;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;20;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;21;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;22;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;23;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;24;00 52;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:24:52;24:52;54;11;25;46;25:46;fly;Striped fly with ant;;Diptera;NA;0;2;;;;;;;;;1;54;;;;;;;;;1;2;1;2
2019;Nov;22;11;25;00 56;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:25:56;25:56;16;11;26;12;26:12;fly;Brachycera;;Diptera;NA;0;2;;;;;;;;;1;16;;;;;;;;;1;2;1;2
2019;Nov;22;11;26;00 57;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:26:57;26:57;09;11;27;06;27:06;fly;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;9;;;;;;;;;1;1;1;1
2019;Nov;22;11;27;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;28;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;29;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;30;00 21;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:30:21;30:21;91;11;31;52;31:52;fly;Striped fly with ant;;Diptera;NA;0;2;;;1;21;;;;;1;70;;;;;;;;;1;2;1;2
2019;Nov;22;11;31;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;32;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;33;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;34;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;35;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;36;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;37;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;38;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;39;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;40;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;41;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;42;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;43;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;44;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;45;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;46;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;47;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
