TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;12;10;11;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;12;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;13;00 06;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:13:06;13:06;36;10;13;42;13:42;fly;Calliphoridae sp.01;;Diptera;NA;0;1;;;1;7;;;;;1;29;;;;;;;;;1;1;1;1
2021;Nov;12;10;14;00 57;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:14:57;14:57;125;10;17;02;17:02;bee;Apis mellifera;;Hymenoptera;NA;0;5;;;1;21;1;14;;;1;90;;;;;;;;;1;5;1;5
2021;Nov;12;10;15;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;16;00 28;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:16:28;16:28;02;10;16;30;16:30;bee;Apoidea;;Hymenoptera;NA;0;1;;;;;;;;;1;2;;;;;;;;;0;;0;
2021;Nov;12;10;17;00 02;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:17:02;17:02;09;10;17;11;17:11;fly;Calliphoridae sp.01;;Diptera;NA;0;3;;;1;2;;;;;1;7;;;;;;;;;1;3;1;2
2021;Nov;12;10;17;00 41;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:17:41;17:41;29;10;18;10;18:10;bee;Apis mellifera;;Hymenoptera;NA;0;2;;;;;;;;;1;29;;;;;;;;;0;;0;
2021;Nov;12;10;18;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;19;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;20;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;21;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
