TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;09;16;45;00 31;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:45:31;45:31;10;16;45;41;45:41;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;46;00 24;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:46:24;46:24;14;16;46;38;46:38;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;47;00 50;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:47:50;47:50;12;16;48;02;48:02;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;48;00 00;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:48:00;48:00;04;16;48;04;48:04;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;48;00 48;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:48:48;48:48;12;16;49;00;49:00;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;49;00 55;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:49:55;49:55;05;16;50;00;50:00;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;50;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;51;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;52;00 03;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:52:03;52:03;31;16;52;34;52:34;fly;Brachycera;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;53;00 11;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:53:11;53:11;28;16;53;39;53:39;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;54;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;55;00 04;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:55:04;55:04;10;16;55;14;55:14;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;56;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;57;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;58;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;59;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;00;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;01;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;02;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;03;00 31;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;17:03:31;03:31;10;17;03;41;03:41;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;17;04;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;05;00 00;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;17:05:00;05:00;13;17;05;13;05:13;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;17;06;00 05;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;17:06:05;06:05;27;17;06;32;06:32;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;17;06;00 56;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;17:06:56;06:56;05;17;07;01;07:01;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;17;07;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;17;08;00 10;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;17:08:10;08:10;04;17;08;14;08:14;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;17;09;;;Hyprev3_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
