"Distribution","ELPD","elpd_diff","se_diff","z_ELPD"
"f_brm_model_po",-235.890105959494,0,0,NA
"f_brm_model_zipo",-236.907288257653,-1.01718229815904,0.166493823673909,-6.10942962155318
"f_brm_model_zinb",-238.267170290344,-2.37706433085007,0.267214368344118,-8.89572048681489
"m_brm_model_nb",-321.911126643488,-86.0210206839938,10.3071622464267,-8.34575207291571
