"Distribution","ELPD","elpd_diff","se_diff","z_ELPD"
"Zero-inflated negative binomial (zinb)",-1191.96695053133,0,0,NA
"Negative binomial (nb)",-1251.35351584496,-59.3865653136279,13.9161513948845,-4.26745611113845
"Poisson (po)",-2531.68396812964,-1339.71701759831,374.594273433064,-3.57644820706985
"Zero-inflated Poisson (zipo)",-2662.32920630723,-1470.3622557759,404.07501287073,-3.63883489189244
