"Distribution","ELPD","elpd_diff","se_diff","z_ELPD"
"Zero-inflated negative binomial (zinb)",-866.399434640069,0,0,NA
"Negative binomial (nb)",-931.029519362028,-64.6300847219594,8.06733889657198,-8.0113263556366
"Zero-inflated Poisson (zipo)",-983.099357459032,-116.699922818963,41.7097112867529,-2.79790771066851
"Poisson (po)",-2606.12529594464,-1739.72586130458,506.16742412588,-3.43705615648612
