"Distribution","ELPD","elpd_diff","se_diff","z_ELPD"
"m_brm_model_nb",-321.911126643489,0,0,NA
"m_brm_model_zinb",-322.336637739839,-0.425511096350126,1.5290925485981,-0.278276875222655
"m_brm_model_zipo",-339.091081239343,-17.1799545958542,8.70394453373579,-1.97381250871557
"m_brm_model_po",-345.658354641901,-23.7472279984129,9.49465455549959,-2.50111553396725
