"Distribution","ELPD","elpd_diff","se_diff","z_ELPD"
"Zero-inflated negative binomial (zinb)",-795.122841554338,0,0,NA
"Negative binomial (nb)",-811.423051712384,-16.3002101580463,10.3819687045393,-1.57005001863658
"Zero-inflated Poisson (zipo)",-1087.11497801502,-291.992136460685,120.614470710193,-2.42087151517888
"Poisson (po)",-1372.44700987335,-577.324168319007,154.829752769421,-3.72876761728596
