"plant.code","species","elevation","total.visitor.count","morpho.visitor.count","visitors.per.minute","morpho.per.minute","total.morpho","total.func","most.common.func.morpho","proportion.most.common.visitor","proportion.most.common.morpho","proportion.most.common.func"
"2800hypochoeridea4","Crepis h",2800,38,2,0.0136641495864797,0.000719165767709457,1,2,"Other fly",0.0526315789473684,0.0526315789473684,0.921052631578947
"2800hypochoeridea5","Crepis h",2800,56,13,0.0588853838065195,0.0136698212407992,2,2,"Other fly",0.214285714285714,0.214285714285714,0.732142857142857
"2800hypochoeridea6","Crepis h",2800,153,22,0.0510170056685562,0.00733577859286429,2,3,"Bee",0.137254901960784,0.137254901960784,0.627450980392157
"2800hypochoeridea7","Crepis h",2800,79,15,0.0577063550036523,0.0109569028487947,2,2,"Other fly",0.10126582278481,0.10126582278481,0.417721518987342
"2800inermis1","Lactuca i",2800,1,0,0.00769230769230769,0,0,1,"Other fly",0,0,1
"2800inermis2","Lactuca i",2800,42,32,0.113821138211382,0.0867208672086721,4,3,"Other fly",0.523809523809524,0.523809523809524,0.928571428571429
"2800inermis4","Lactuca i",2800,7,5,0.0167064439140811,0.0119331742243437,3,2,"Other fly",0,0,0.714285714285714
"2800inermis5","Lactuca i",2800,36,25,0.103448275862069,0.0718390804597701,3,1,"Other fly",0.361111111111111,0.361111111111111,1
"2800inermis6","Lactuca i",2800,3,2,0.00262927256792287,0.00175284837861525,1,1,"Other fly",0.666666666666667,0.666666666666667,1
"2800inermis7","Lactuca i",2800,14,2,0.0120171673819742,0.00171673819742489,1,1,"Other fly",0.142857142857143,0.142857142857143,1
"2800inermis8","Lactuca i",2800,40,11,0.0647249190938511,0.0177993527508091,2,3,"Other fly",0.25,0.25,0.825
"2800inermis9","Lactuca i",2800,14,12,0.0175438596491228,0.0150375939849624,3,3,"Bee",0.642857142857143,0.642857142857143,0.642857142857143
"2800purpureus1","Senecio p",2800,12,4,0.00205902539464653,0.000686341798215511,3,2,"Other fly",0.166666666666667,0.166666666666667,0.666666666666667
"2800purpureus2","Senecio p",2800,15,7,0.000416956219596942,0.00019457956914524,1,2,"Bee",0.466666666666667,0.466666666666667,0.533333333333333
"2800purpureus3","Senecio p",2800,250,203,0.00396825396825397,0.00322222222222222,12,4,"Other fly",0.316,0.316,0.596
"2800purpureus4","Senecio p",2800,202,151,0.0140083217753121,0.0104715672676838,7,3,"Other fly",0.356435643564356,0.356435643564356,0.841584158415842
"2800purpureus5","Senecio p",2800,147,133,0.00404401650618982,0.00365887207702889,10,3,"Other fly",0.319727891156463,0.319727891156463,0.653061224489796
"2800purpureus6","Senecio p",2800,859,851,0.0684407616922954,0.0678033622818899,10,3,"Other fly",0.552968568102445,0.552968568102445,0.823050058207218
"2800purpureus7","Senecio p",2800,0,0,0,0,0,0,NA,NA,NA,NA
"2800revolutum1","Hypericum r",2800,92,2,0.0715396578538103,0.0015552099533437,1,3,"Bird",0.0217391304347826,0.0217391304347826,0.0217391304347826
"2800revolutum2","Hypericum r",2800,327,238,0.125866050808314,0.0916089299461124,16,3,"Other fly",0.311926605504587,0.311926605504587,0.694189602446483
"2800revolutum3","Hypericum r",2800,1079,49,0.766879886282871,0.0348258706467662,12,5,"Moth",0.0111214087117702,0.0111214087117702,0.0398517145505097
"2800revolutum4","Hypericum r",2800,289,16,0.214074074074074,0.0118518518518519,9,4,"Moth",0.013840830449827,0.013840830449827,0.069204152249135
"2800revolutum5","Hypericum r",2800,579,53,0.0985364193328795,0.00901974132062628,5,5,"Bird",0.0673575129533679,0.0673575129533679,0.0811744386873921
"2800revolutum6","Hypericum r",2800,1026,13,0.352577319587629,0.00446735395189003,4,3,"Moth",0.00682261208576998,0.00682261208576998,0.0146198830409357
"2800revolutum7","Hypericum r",2800,978,835,0.318152244632401,0.271633051398829,19,6,"Other fly",0.511247443762781,0.511247443762781,0.858895705521472
"2800simensis1","Clematis s",2800,85,27,0.00247668997668998,0.000786713286713287,7,5,"Moth",0.117647058823529,0.117647058823529,0.317647058823529
"2800simensis2","Clematis s",2800,63,31,0.00731282646546721,0.00359837492745212,5,3,"Other fly",0.380952380952381,0.380952380952381,0.968253968253968
"2800simensis3","Clematis s",2800,3,0,0.000104166666666667,0,0,1,"Other fly",0,0,1
"2800simensis5","Clematis s",2800,206,126,0.00494704738118681,0.00302586393218222,5,5,"Moth",0.271844660194175,0.271844660194175,0.344660194174757
"2800simensis6","Clematis s",2800,50,44,0.00107494517779593,0.000945951756460421,2,3,"Moth",0.6,0.6,0.66
"2800simensis7","Clematis s",2800,29,25,0.00183208035883505,0.00157937961968539,3,4,"Moth",0.724137931034483,0.724137931034483,0.827586206896552
"2800simensis8","Clematis s",2800,29,25,0.000439633739615548,0.000378994603116852,2,3,"Bee",0.793103448275862,0.793103448275862,0.827586206896552
"3500burtonii10","Senecio b",3500,143,136,0.0217589774802191,0.0206938527084601,3,2,"Other fly",0.713286713286713,0.713286713286713,0.993006993006993
"3500burtonii11","Senecio b",3500,9,0,0.00312283136710618,0,0,1,"Other fly",0,0,1
"3500burtonii12","Senecio b",3500,397,240,0.02261335156072,0.0136705399863295,4,4,"Other fly",0.536523929471033,0.536523929471033,0.992443324937028
"3500burtonii13","Senecio b",3500,175,174,0.0126774847870183,0.0126050420168067,6,2,"Other fly",0.594285714285714,0.594285714285714,0.982857142857143
"3500burtonii14","Senecio b",3500,168,155,0.0135658914728682,0.012516149870801,5,3,"Other fly",0.69047619047619,0.69047619047619,0.958333333333333
"3500burtonii15","Senecio b",3500,243,1,0.0110204081632653,4.53514739229025e-05,1,1,"Other fly",0.00411522633744856,0.00411522633744856,1
"3500burtonii9","Senecio b",3500,119,114,0.0203767123287671,0.0195205479452055,5,2,"Other fly",0.80672268907563,0.80672268907563,0.991596638655462
"3500hypochoeridea10","Crepis h",3500,95,69,0.0543789353176875,0.0394962793360046,4,2,"Other fly",0.652631578947368,0.652631578947368,0.957894736842105
"3500hypochoeridea11","Crepis h",3500,210,22,0.0867768595041322,0.00909090909090909,1,2,"Other fly",0.104761904761905,0.104761904761905,0.947619047619048
"3500hypochoeridea12","Crepis h",3500,24,18,0.0144230769230769,0.0108173076923077,4,2,"Other fly",0.625,0.625,0.75
"3500hypochoeridea13","Crepis h",3500,79,30,0.0194437607679055,0.0073837066207236,3,3,"Other fly",0.20253164556962,0.20253164556962,0.531645569620253
"3500hypochoeridea14","Crepis h",3500,267,0,0.0423070828711773,0,0,2,"Other fly",0,0,0.752808988764045
"3500hypochoeridea8","Crepis h",3500,91,59,0.0435823754789272,0.0282567049808429,3,1,"Other fly",0.626373626373626,0.626373626373626,1
"3500hypochoeridea9","Crepis h",3500,88,82,0.0742616033755274,0.0691983122362869,4,2,"Other fly",0.727272727272727,0.727272727272727,0.954545454545455
"3500inermis10","Lactuca i",3500,0,0,0,0,0,0,NA,NA,NA,NA
"3500inermis11","Lactuca i",3500,88,82,0.0516431924882629,0.0481220657276995,2,2,"Other fly",0.909090909090909,0.909090909090909,0.943181818181818
"3500inermis12","Lactuca i",3500,109,105,0.0677018633540373,0.0652173913043478,2,2,"Other fly",0.63302752293578,0.63302752293578,0.972477064220184
"3500inermis13","Lactuca i",3500,60,43,0.0293111871030777,0.0210063507572057,3,2,"Other fly",0.483333333333333,0.483333333333333,0.966666666666667
"3500inermis14","Lactuca i",3500,7,2,0.00542215336948102,0.00154918667699458,1,2,"Other fly",0.285714285714286,0.285714285714286,0.857142857142857
"3500inermis15","Lactuca i",3500,10,0,0.0151975683890578,0,0,2,"Other fly",0,0,0.8
"3500inermis16","Lactuca i",3500,53,47,0.0526315789473684,0.0466732869910626,4,2,"Other fly",0.754716981132076,0.754716981132076,0.886792452830189
"3500purpureus10","Senecio p",3500,374,356,0.012739287417399,0.0121261666326044,6,3,"Other fly",0.502673796791444,0.502673796791444,0.96524064171123
"3500purpureus11","Senecio p",3500,217,206,0.00575200127233208,0.00546042517096962,7,2,"Other fly",0.612903225806452,0.612903225806452,0.95852534562212
"3500purpureus12","Senecio p",3500,183,173,0.00384566889421258,0.00363552305299878,6,4,"Other fly",0.846994535519126,0.846994535519126,0.956284153005464
"3500purpureus13","Senecio p",3500,514,514,0.0054876421288635,0.0054876421288635,3,1,"Other fly",0.963035019455253,0.963035019455253,1
