"ID","elevation","species","plant.number","seedset","pl.index"
134,"4000","Crepis h",31,81,0
135,"4000","Crepis h",32,15,0.615384615384615
136,"4000","Crepis h",32,17,0.564102564102564
137,"4000","Crepis h",32,21,0.461538461538462
138,"4000","Crepis h",32,35,0.102564102564103
139,"4000","Crepis h",33,34,0.381818181818182
140,"4000","Crepis h",34,33,0.265111346765642
141,"4000","Crepis h",35,43,0.385714285714286
142,"4000","Crepis h",37,38,0.153764581124072
143,"4000","Crepis h",38,28,0.376458112407211
144,"4000","Crepis h",39,50,0
145,"4000","Crepis h",5,10,0.764705882352941
146,"4000","Crepis h",6,7,0.766666666666667
147,"4000","Crepis h",7,37,0.350877192982456
148,"2300","Clematis s",1,0,1
149,"2300","Clematis s",1,3,0.470588235294118
150,"2300","Clematis s",10,0,1
151,"2300","Clematis s",11,6,0.625
152,"2300","Clematis s",11,8,0.5
153,"2300","Clematis s",12,0,1
154,"2300","Clematis s",13,11,0
155,"2300","Clematis s",2,10,0.2
156,"2300","Clematis s",2,12,0.04
157,"2300","Clematis s",3,3,0.84
158,"2300","Clematis s",3,3,0.84
159,"2300","Clematis s",3,5,0.733333333333333
160,"2300","Clematis s",3,17,0.0933333333333334
161,"2300","Clematis s",4,3,0.625
162,"2300","Clematis s",4,3,0.625
163,"2300","Clematis s",4,12,0
164,"2300","Clematis s",6,0,1
165,"2300","Clematis s",6,3,0.769230769230769
166,"2300","Clematis s",7,7,0.25
167,"2300","Clematis s",8,0,1
168,"2300","Clematis s",8,11,0.214285714285714
169,"2300","Clematis s",8,18,0
170,"2300","Clematis s",9,4,0.636363636363636
171,"2300","Clematis s",9,8,0.272727272727273
172,"2300","Clematis s",9,15,0
173,"2800","Clematis s",1,3,0.769230769230769
174,"2800","Clematis s",1,6,0.538461538461538
175,"2800","Clematis s",1,17,0
176,"2800","Clematis s",10,0,1
177,"2800","Clematis s",10,19,0.173913043478261
178,"2800","Clematis s",11,3,0.804347826086957
179,"2800","Clematis s",11,18,0
180,"2800","Clematis s",12,15,0.117647058823529
181,"2800","Clematis s",13,13,0.235294117647059
182,"2800","Clematis s",14,13,0
183,"2800","Clematis s",2,14,0.222222222222222
184,"2800","Clematis s",3,9,0.205882352941177
185,"2800","Clematis s",4,5,0.700315457413249
186,"2800","Clematis s",5,2,0.892857142857143
187,"2800","Clematis s",50,11,0.340694006309148
188,"2800","Clematis s",6,3,0.869565217391304
189,"2800","Clematis s",6,4,0.826086956521739
190,"2800","Clematis s",6,5,0.782608695652174
191,"2800","Clematis s",7,0,1
192,"2800","Clematis s",7,10,0.5
193,"2800","Clematis s",8,7,0.580441640378549
194,"2800","Clematis s",9,9,0.55
195,"2300","Geranium a",1,0,1
196,"2300","Geranium a",10,5,0
197,"2300","Geranium a",11,5,0
198,"2300","Geranium a",14,2,0
199,"2300","Geranium a",15,0,1
200,"2300","Geranium a",24,0,1
201,"2300","Geranium a",28,0,1
202,"2300","Geranium a",28,1,0.8
203,"2300","Geranium a",3,4,0
204,"2300","Geranium a",30,5,0
205,"2300","Geranium a",31,5,0
206,"2300","Geranium a",32,4,0
207,"2300","Geranium a",33,5,0
208,"2300","Geranium a",34,5,0
209,"2300","Geranium a",39,4,0
210,"2300","Geranium a",4,0,1
211,"2300","Geranium a",41,3,0
212,"2300","Geranium a",43,0,1
213,"2800","Geranium a",1,4,0.111111111111111
214,"2800","Geranium a",10,3,0.25
215,"2800","Geranium a",11,5,0
216,"2800","Geranium a",12,5,0
217,"2800","Geranium a",13,5,0
218,"2800","Geranium a",15,5,0
219,"2800","Geranium a",16,0,1
220,"2800","Geranium a",17,1,0.8
221,"2800","Geranium a",17,5,0
222,"2800","Geranium a",18,5,0
223,"2800","Geranium a",19,5,0
224,"2800","Geranium a",20,5,0
225,"2800","Geranium a",3,5,0
226,"2800","Geranium a",4,5,0
227,"2800","Geranium a",5,5,0
228,"2800","Geranium a",6,5,0
229,"2800","Geranium a",8,5,0
230,"2800","Geranium a",8,5,0
231,"2300","Hypericum r",1,162,0.562162162162162
232,"2300","Hypericum r",1,274,0.259459459459459
233,"2300","Hypericum r",10,68,0.827265029635902
234,"2300","Hypericum r",10,146,0.629127857747672
235,"2300","Hypericum r",10,184,0.53259949195597
236,"2300","Hypericum r",11,353,0
237,"2300","Hypericum r",11,380,0
238,"2300","Hypericum r",12,175,0.4
239,"2300","Hypericum r",12,355,0
240,"2300","Hypericum r",12,392,0
241,"2300","Hypericum r",13,135,0
242,"2300","Hypericum r",13,295,0
243,"2300","Hypericum r",13,303,0
244,"2300","Hypericum r",14,100,0.62962962962963
245,"2300","Hypericum r",14,244,0.0962962962962963
246,"2300","Hypericum r",15,285,0.293680297397769
247,"2300","Hypericum r",15,444,0
248,"2300","Hypericum r",2,68,0.387387387387387
249,"2300","Hypericum r",2,132,0
250,"2300","Hypericum r",2,190,0
251,"2300","Hypericum r",3,7,0.982051282051282
252,"2300","Hypericum r",3,74,0.81025641025641
253,"2300","Hypericum r",3,112,0.712820512820513
254,"2300","Hypericum r",3,118,0.697435897435897
255,"2300","Hypericum r",3,220,0.435897435897436
256,"2300","Hypericum r",3,292,0.251282051282051
257,"2300","Hypericum r",5,271,0.459800664451827
258,"2300","Hypericum r",6,342,0.291925465838509
259,"2300","Hypericum r",7,373,0.298872180451128
260,"2300","Hypericum r",8,164,0.522561863173217
261,"2300","Hypericum r",8,230,0.33042212518195
262,"2300","Hypericum r",9,250,0.409681227863046
263,"2300","Hypericum r",9,341,0.194805194805195
264,"2800","Hypericum r",2,355,0
265,"2800","Hypericum r",2,493,0
266,"2800","Hypericum r",3,125,0.758220502901354
267,"2800","Hypericum r",3,497,0.0386847195357833
268,"2800","Hypericum r",4,175,0.582338902147971
269,"2800","Hypericum r",4,550,0
270,"2800","Hypericum r",50,315,0.223627998685508
271,"2800","Hypericum r",6,286,0.111801242236025
272,"2800","Hypericum r",7,130,0.683954619124797
273,"2800","Hypericum r",8,429,0.139590854392298
274,"2800","Hypericum r",8,495,0.00722021660649819
286,"2300","Lactuca i",1,0,1
287,"2300","Lactuca i",1,8,0
288,"2300","Lactuca i",10,0,1
289,"2300","Lactuca i",11,5,0.5
290,"2300","Lactuca i",12,4,0.2
291,"2300","Lactuca i",13,0,1
292,"2300","Lactuca i",15,3,0.407894736842105
293,"2300","Lactuca i",17,0,1
294,"2300","Lactuca i",21,0,1
295,"2300","Lactuca i",22,0,1
296,"2300","Lactuca i",23,9,0
297,"2300","Lactuca i",26,6,0
298,"2300","Lactuca i",29,0,1
299,"2300","Lactuca i",29,8,0.304347826086957
300,"2300","Lactuca i",29,10,0.130434782608696
301,"2300","Lactuca i",3,0,1
302,"2300","Lactuca i",30,11,0
303,"2300","Lactuca i",32,2,0.75
304,"2300","Lactuca i",4,0,1
305,"2300","Lactuca i",5,0,1
306,"2300","Lactuca i",5,7,0
307,"2300","Lactuca i",5,7,0
308,"2300","Lactuca i",6,5,0.013157894736842
309,"2300","Lactuca i",8,0,1
310,"2300","Lactuca i",9,5,0.013157894736842
311,"2800","Lactuca i",1,10,0
312,"2800","Lactuca i",10,0,1
313,"2800","Lactuca i",11,10,0.0909090909090909
314,"2800","Lactuca i",11,11,0
315,"2800","Lactuca i",12,8,0.111111111111111
316,"2800","Lactuca i",14,0,1
317,"2800","Lactuca i",14,0,1
