TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;08;09;42;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;43;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;44;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;45;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;46;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;47;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;48;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;49;00 02;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;1;09:49:02;49:02;108;09;50;50;50:50;Acalyptrate sp.;Brachycera;;Diptera;NA;0;2;;;1;1;;;1;107;;;;;;;;;;;;;1;2;0;
2019;Nov;08;09;50;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;51;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;52;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;53;00 59;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;1;09:53:59;53:59;30;09;54;29;54:29;Acalyptrate sp.;Brachycera;;Diptera;NA;0;6;;;1;8;1;1;1;21;;;;;;;;;;;;;1;3;0;
2019;Nov;08;09;54;00 29;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;1;09:54:29;54:29;06;09;54;35;54:35;Small apoidea sp.;small Apoidea;;Hymenoptera;NA;0;1;;;;;;;1;6;;;;;;;;;;;;;1;1;0;
2019;Nov;08;09;55;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;56;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;57;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;58;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;09;59;;;Senpur2_20191108_09_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;00;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;01;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;02;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;03;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;04;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;05;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;06;00 27;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;1;10:06:27;06:27;21;10;06;48;06:48;Acalyptrate sp.;Brachycera;;Diptera;NA;0;3;;;1;15;1;2;1;4;;;;;;;;;;;;;1;3;0;
2019;Nov;08;10;07;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;08;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;09;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;10;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;11;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;12;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;13;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;14;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;15;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;16;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;17;;;Senpur2_20191108_10_00;1;Senecio;purpureus;2;25;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
