TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;16;25;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;26;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;27;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;28;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;29;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;30;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;31;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;32;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;33;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;34;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;35;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;36;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;37;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;38;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;39;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;40;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;41;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;42;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;43;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;44;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;45;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;46;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;47;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;48;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;49;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;50;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;51;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;52;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;53;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;54;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;55;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;56;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;57;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;58;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;16;59;;;Crehyp10_20191122_16_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;00;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;01;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;02;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;03;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;04;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;05;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;06;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;07;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;08;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;09;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;10;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;11;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;12;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;13;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;14;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;15;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;16;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;17;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;18;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;19;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;20;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;21;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;22;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;23;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;24;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;25;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;26;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;27;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;28;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;29;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;30;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;31;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;32;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;33;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;34;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;35;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;36;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;37;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;38;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;39;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;40;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;41;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;42;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;43;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;44;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;45;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;46;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;47;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;48;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;49;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;50;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;51;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;52;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;53;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;54;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;55;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;56;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;57;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;58;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;17;59;;;Crehyp10_20191122_17_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;00;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;01;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;02;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;03;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;04;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;05;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;06;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;07;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;08;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;09;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;10;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;11;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;12;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;13;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;14;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;18;15;;;Crehyp10_20191122_18_00;1;Crepis ;hypochoeridea;10;0;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
