TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;27;13;04;00 42;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:04:42;04:42;08;13;04;50;04:50;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;8;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;04;00 45;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:04:45;04:45;05;13;04;50;04:50;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;5;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;04;00 48;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:04:48;04:48;23;13;05;11;05:11;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;23;;;;;;;;;;;;;1;2;0;
2019;Nov;27;13;05;00 36;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:05:36;05:36;100;13;07;16;07:16;Acalyptratae sp.;Big black and white abdomen fly;;Diptera;NA;0;6;;;;;1;3;1;97;;;;;;;;;;;;;1;6;0;
2019;Nov;27;13;06;00 22;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:06:22;06:22;99;13;08;01;08:01;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;1;1;1;98;;;;;;;;;;;;;1;2;0;
2019;Nov;27;13;06;00 39;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:06:39;06:39;11;13;06;50;06:50;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;11;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;07;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;08;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;09;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;10;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;11;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;12;00 26;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:12:26;12:26;70;13;13;36;13:36;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;70;;;;;;;;;;;;;1;2;0;
2019;Nov;27;13;13;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;14;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;15;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;16;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;17;00 24;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:17:24;17:24;16;13;17;40;17:40;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;16;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;18;00 14;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:18:14;18:14;35;13;18;49;18:49;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;35;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;18;00 32;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:18:32;18:32;41;13;19;13;19:13;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;41;;;;;;;;;;;;;1;2;0;
2019;Nov;27;13;19;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;20;00 27;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:20:27;20:27;10;13;20;37;20:37;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;10;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;20;00 36;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:20:36;20:36;74;13;21;50;21:50;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;74;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;21;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;22;00 00;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:22:00;22:00;152;13;24;32;24:32;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;152;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;23;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;24;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;25;00 00;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:25:00;25:00;757;13;37;37;37:37;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;757;;;;;;;;;;;;;1;2;0;
2019;Nov;27;13;26;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;27;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;28;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;29;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
