TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;10;17;33;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;34;00 32;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:34:32;34:32;06;17;34;38;34:38;unknown;unidentified;;Unknown;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;35;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;36;00 00;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:36:00;36:00;40;17;36;40;36:40;bee;Apis melifera;yes;Hymenoptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;36;00 34;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:36:34;36:34;05;17;36;39;36:39;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;37;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;38;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;39;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;40;00 30;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:40:30;40:30;20;17;40;50;40:50;bee;Apis melifera;yes;Hymenoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;41;00 23;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:41:23;41:23;09;17;41;32;41:32;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
