TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;23;10;01;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;02;00 34;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:02:34;02:34;05;10;02;39;02:39;fly;Brachycera;;Diptera;NA;0;1;;;1;5;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;10;03;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;04;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;05;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;06;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;07;00 06;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:07:06;07:06;17;10;07;23;07:23;fly;Brachycera;;Diptera;NA;0;1;;;1;17;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;07;00 19;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:07:19;07:19;83;10;08;42;08:42;fly;Brachycera;;Diptera;NA;0;1;;;1;83;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;07;00 30;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:07:30;07:30;18;10;07;48;07:48;fly;Brachycera;;Diptera;NA;0;1;;;1;18;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;08;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;09;00 16;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:09:16;09:16;82;10;10;38;10:38;fly;Brachycera;;Diptera;NA;0;1;;;1;82;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;10;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;11;00 28;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:11:28;11:28;36;10;12;04;12:04;fly;Brachycera;;Diptera;NA;0;1;;;1;36;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;12;00 46;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:12:46;12:46;28;10;13;14;13:14;fly;Brachycera;;Diptera;NA;0;1;;;1;28;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;13;00 13;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:13:13;13:13;46;10;13;59;13:59;fly;Brachycera;;Diptera;NA;0;2;;;1;46;;;;;;;;;;;;;;;1;2;1;2
2019;Nov;23;10;14;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;15;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;16;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;17;00 39;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:17:39;17:39;91;10;19;10;19:10;fly;Brachycera;;Diptera;NA;0;1;;;1;91;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;18;00 08;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:18:08;18:08;11;10;18;19;18:19;fly;Brachycera;;Diptera;NA;0;1;;;1;11;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;18;00 15;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:18:15;18:15;102;10;19;57;19:57;fly;Brachycera;;Diptera;NA;0;2;;;1;102;;;;;;;;;;;;;;;1;2;1;2
2019;Nov;23;10;18;00 54;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:18:54;18:54;19;10;19;13;19:13;fly;Brachycera;;Diptera;NA;0;1;;;1;19;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;23;10;19;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;20;;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;21;00 56;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:21:56;21:56;07;10;22;03;22:03;fly;Brachycera;;Diptera;NA;0;2;;;1;7;;;;;;;;;;;;;;;1;2;1;2
2019;Nov;23;10;22;00 24;;Crehyp11_20191123_10_00;1;Crepis ;hypochoeridea;11;5;0;;1;10:22:24;22:24;05;10;22;29;22:29;fly;Brachycera;;Diptera;NA;0;1;;;1;5;;;;;;;;;;;;;;;1;1;1;1
