TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;11;10;04;00 32;;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;05;10;04;37;04:37;fruitfly;small Brachycera;;Diptera;NA;0;1;;;1;5;;;;;;;;;;;walks on petals;;;;0;;0;
2021;Nov;11;10;04;00 32;;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;04;10;04;36;04:36;fly;Brachycera;;Diptera;NA;0;1;;;1;1;;;;;1;3;;;;;walks on petals;;;;0;;0;
2021;Nov;11;10;04;00 32;NA;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;11;10;04;43;04:43;fly;small Brachycera;;Diptera;NA;0;1;;;1;4;;;;;1;7;;;;;walks on petals;;;;0;;0;
2021;Nov;11;10;04;00 32;NA;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;16;10;04;48;04:48;fly;small Brachycera;;Diptera;NA;0;1;;;1;6;;;;;1;10;;;;;walks on petals to centre of flower;;;;0;;0;
2021;Nov;11;10;04;00 32;NA;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;30;10;05;02;05:02;fly;small Brachycera;;Diptera;NA;0;1;;;1;12;;;;;1;18;;;;;walks on petals to centre of flower;;;;0;;0;
2021;Nov;11;10;04;00 32;NA;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:32;04:32;54;10;05;26;05:26;fly;small Brachycera;;Diptera;NA;0;1;;;1;14;;;;;1;40;;;;;walks from petals to centre;;;;0;;0;
2021;Nov;11;10;04;00 40;00;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:04:40;04:40;04;10;04;44;04:44;Apis;Apis melifera;yes;Hymenoptera;NA;0;1;;;;;;;1;2;1;2;;;;;collects nectar from flower centre;;;;0;;0;
2021;Nov;11;10;05;00 26;00;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:05:26;05:26;03;10;05;29;05:29;fly;small Brachycera;;Diptera;NA;0;1;;;1;2;;;;;1;1;;;;;touches petals;;;;0;;0;
2021;Nov;11;10;05;00 29;;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:05:29;05:29;06;10;05;35;05:35;fly;small Brachycera;;Diptera;NA;0;1;;;1;2;;;;;1;4;;;;;walks on petals;;;;0;;0;
2021;Nov;11;10;05;00 29;;Hyprev5_20211111_10_00;1;Hypericum;revolutum;5;4;0;;1;10:05:29;05:29;10;10;05;39;05:39;fly;small Brachycera;;Diptera;NA;0;1;;;1;2;;;;;1;8;;;;;walks from petals to centre;;;;0;;0;
